scenario,measure_id,measure_name,vaccine_name,location_id,location_name,sex_id,sex_name,year_id,mean,lower,upper
worse,18,Proportion,DTP3,7,Democratic People's Republic of Korea,3,Both,2026,0.155,0.093,0.226
reference,18,Proportion,DTP3,7,Democratic People's Republic of Korea,3,Both,2026,0.19,0.121,0.265
better,18,Proportion,DTP3,7,Democratic People's Republic of Korea,3,Both,2026,0.204,0.13,0.287
worse,18,Proportion,DTP3,7,Democratic People's Republic of Korea,3,Both,2027,0.146,0.086,0.216
reference,18,Proportion,DTP3,7,Democratic People's Republic of Korea,3,Both,2027,0.192,0.123,0.268
better,18,Proportion,DTP3,7,Democratic People's Republic of Korea,3,Both,2027,0.211,0.134,0.297
worse,18,Proportion,DTP3,7,Democratic People's Republic of Korea,3,Both,2028,0.138,0.079,0.206
reference,18,Proportion,DTP3,7,Democratic People's Republic of Korea,3,Both,2028,0.194,0.124,0.271
better,18,Proportion,DTP3,7,Democratic People's Republic of Korea,3,Both,2028,0.218,0.138,0.308
worse,18,Proportion,DTP3,7,Democratic People's Republic of Korea,3,Both,2029,0.13,0.073,0.197
reference,18,Proportion,DTP3,7,Democratic People's Republic of Korea,3,Both,2029,0.196,0.126,0.274
better,18,Proportion,DTP3,7,Democratic People's Republic of Korea,3,Both,2029,0.225,0.143,0.319
worse,18,Proportion,DTP3,7,Democratic People's Republic of Korea,3,Both,2030,0.122,0.068,0.189
reference,18,Proportion,DTP3,7,Democratic People's Republic of Korea,3,Both,2030,0.199,0.127,0.277
better,18,Proportion,DTP3,7,Democratic People's Republic of Korea,3,Both,2030,0.233,0.147,0.33
worse,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2024,0.216,0.134,0.315
reference,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2024,0.228,0.143,0.329
better,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2024,0.235,0.147,0.339
worse,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2025,0.206,0.126,0.304
reference,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2025,0.23,0.144,0.332
better,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2025,0.244,0.153,0.352
worse,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2026,0.196,0.118,0.292
reference,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2026,0.232,0.146,0.335
better,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2026,0.253,0.159,0.364
worse,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2027,0.187,0.111,0.281
reference,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2027,0.235,0.148,0.338
better,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2027,0.263,0.165,0.377
worse,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2028,0.178,0.104,0.271
reference,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2028,0.238,0.15,0.342
better,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2028,0.273,0.171,0.391
worse,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2029,0.17,0.098,0.26
reference,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2029,0.241,0.152,0.345
better,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2029,0.283,0.178,0.407
worse,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2030,0.162,0.092,0.251
reference,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2030,0.244,0.154,0.349
better,18,Proportion,MCV2,7,Democratic People's Republic of Korea,3,Both,2030,0.294,0.184,0.422
worse,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2024,0,0,0
reference,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2024,0,0,0
better,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2024,0,0,0
worse,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2025,0,0,0
reference,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2025,0,0,0
better,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2025,0,0,0
worse,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2026,0,0,0
reference,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2026,0,0,0
better,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2026,0.197,0.125,0.277
worse,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2027,0,0,0
reference,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2027,0,0,0
better,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2027,0.204,0.13,0.287
worse,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2028,0,0,0
reference,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2028,0,0,0
better,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2028,0.211,0.134,0.297
worse,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2029,0,0,0
reference,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2029,0,0,0
better,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2029,0.218,0.138,0.308
worse,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2030,0,0,0
reference,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2030,0.196,0.126,0.274
better,18,Proportion,PCV3,7,Democratic People's Republic of Korea,3,Both,2030,0.225,0.143,0.319
worse,18,Proportion,DTP3,8,Taiwan,3,Both,2024,0.963,0.943,0.973
reference,18,Proportion,DTP3,8,Taiwan,3,Both,2024,0.981,0.962,0.992
better,18,Proportion,DTP3,8,Taiwan,3,Both,2024,0.999,0.992,1
worse,18,Proportion,DTP3,8,Taiwan,3,Both,2025,0.946,0.925,0.956
reference,18,Proportion,DTP3,8,Taiwan,3,Both,2025,0.982,0.962,0.992
better,18,Proportion,DTP3,8,Taiwan,3,Both,2025,1,1,1
worse,18,Proportion,DTP3,8,Taiwan,3,Both,2026,0.929,0.908,0.94
reference,18,Proportion,DTP3,8,Taiwan,3,Both,2026,0.982,0.963,0.992
better,18,Proportion,DTP3,8,Taiwan,3,Both,2026,1,1,1
worse,18,Proportion,DTP3,8,Taiwan,3,Both,2027,0.912,0.892,0.923
reference,18,Proportion,DTP3,8,Taiwan,3,Both,2027,0.982,0.964,0.992
better,18,Proportion,DTP3,8,Taiwan,3,Both,2027,1,1,1
worse,18,Proportion,DTP3,8,Taiwan,3,Both,2028,0.896,0.876,0.907
reference,18,Proportion,DTP3,8,Taiwan,3,Both,2028,0.983,0.965,0.992
better,18,Proportion,DTP3,8,Taiwan,3,Both,2028,1,1,1
worse,18,Proportion,DTP3,8,Taiwan,3,Both,2029,0.88,0.86,0.892
reference,18,Proportion,DTP3,8,Taiwan,3,Both,2029,0.983,0.965,0.992
better,18,Proportion,DTP3,8,Taiwan,3,Both,2029,1,1,1
worse,18,Proportion,DTP3,8,Taiwan,3,Both,2030,0.864,0.844,0.876
reference,18,Proportion,DTP3,8,Taiwan,3,Both,2030,0.983,0.966,0.993
better,18,Proportion,DTP3,8,Taiwan,3,Both,2030,1,1,1
worse,18,Proportion,MCV2,8,Taiwan,3,Both,2024,0.947,0.78,0.995
reference,18,Proportion,MCV2,8,Taiwan,3,Both,2024,0.974,0.884,0.998
better,18,Proportion,MCV2,8,Taiwan,3,Both,2024,0.976,0.891,0.998
worse,18,Proportion,MCV2,8,Taiwan,3,Both,2025,0.929,0.716,0.993
reference,18,Proportion,MCV2,8,Taiwan,3,Both,2025,0.982,0.918,0.999
better,18,Proportion,MCV2,8,Taiwan,3,Both,2025,0.984,0.925,0.999
worse,18,Proportion,MCV2,8,Taiwan,3,Both,2026,0.909,0.652,0.991
reference,18,Proportion,MCV2,8,Taiwan,3,Both,2026,0.986,0.934,0.999
better,18,Proportion,MCV2,8,Taiwan,3,Both,2026,0.988,0.944,0.999
